DOC333,Revision1,,
Instructions:,,,
Add genes symbols and/or transcripts to a panel in Moka,,,
Add panel description to Moka,,,
Answer following questions,,,
Please save this as a CSV file.,,,
,,,
1. Pan number of bed file to be created,Pan5149,,
2. Panel description/name (fill in a-c from Moka),,,
2. a) Category,VCP3,,
2. b) SubCategory,3/5UTR +/-30bp Pan3608 + Pan5167 with additional genes,,
2. c) Panel,VCP3_Variant_+/-30bp_3/5UTR +/-30bp Pan3608 + Pan5167 with additional genes,,
3a). Is this BED file used for Exome depth?,Yes,,
3b). Is this BED file used to generate read counts or filter calls?,Readcount,,
4. a) Is this BED file exclusively based on coordinates provided by a supplier? ,No,,
4. b) If yes does this need further padding?,No,,
5. a) Should specific transcripts be used to create the bed file? (as opposed to all transcripts for a gene),Yes,,
5. b) If specific transcripts are to be used have you provided multiple transcripts for the same gene? (if Yes please state),Yes,,
"6. What padding is required around the exons?(usually 10,30 or 50bp)",30bp,,
7. a) Should UTRs be included for ALL genes?,Yes,,
7. b) Should UTRs be padded? and if so by how much,30bp 3and5UTR,,
8. a) Are UTRs required for SOME genes? ,NA,,
8. b) Please list genes/transcripts,NA,,
8. c) Should UTRs be padded? and if so by how much,No,,
9. Any additional BED files to be included in this BED file?,Pan3608 Pan5167,,
10. Are any further regions required to be added?,Yes - see below (Pan5167),,
11. Are there any regions in the below transcripts that should be excluded?,No,,
Requested by:,Michael Yau,,
GFER,NM_005262,HGNC:4236,
GFI1B,NM_004188,HGNC:4238,
GGCX,NM_000821,HGNC:4247,
GGPS1,NM_001037277,HGNC:4249,
GIGYF2,NM_001103146,HGNC:11960,
GJA1,NM_000165,HGNC:4274,
GJB1,NM_000166,HGNC:4283,
GJC2,NM_020435,HGNC:17494,
GLA,NM_000169,HGNC:4296,
GLB1,NM_000404,HGNC:4298,
GLRA1,NM_001146040,HGNC:4326,
GLRB,NM_000824,HGNC:4329,
GM2A,NM_000405,HGNC:4367,
GMPPB,NM_013334,HGNC:22932,
GNAL,NM_182978,HGNC:4388,
GNAO1,NM_020988,HGNC:4389,
GNB4,NM_021629,HGNC:20731,
GNE,NM_005476,HGNC:23657,
GOLGA2,NM_001366244,HGNC:4425,
GP1BA,NM_000173,HGNC:4439,
GP1BB,NM_000407,HGNC:4440,
GP6,NM_001083899,HGNC:14388,
GP9,NM_000174,HGNC:4444,
GRID2,NM_001510,HGNC:4576,
GRM1,NM_001278064,HGNC:4593,
GRN,NM_002087,HGNC:4601,
GTF2E1,NM_005513,HGNC:4650,
GTF2E2,NM_002095,HGNC:4651,
GTF2H5,NM_207118,HGNC:21157,
GTPBP2,NM_019096,HGNC:4670,
HACD1,NM_014241,HGNC:9639,
HACE1,NM_020771,HGNC:21033,
HADHA,NM_000182,HGNC:4801,
HADHB,NM_000183,HGNC:4803,
HARS1,NM_002109,HGNC:4816,
HCFC1,NM_005334,HGNC:4839,
HEPACAM,NM_152722,HGNC:26361,
HEXA,NM_000520,HGNC:4878,
HEXB,NM_000521,HGNC:4879,
HIBCH,NM_014362,HGNC:4908,
HINT1,NM_005340,HGNC:4912,
HK1,NM_033500,HGNC:4922,
HMBS,NM_000190,HGNC:4982,
HMGCL,NM_000191,HGNC:5005,
HNRNPA1,NM_031157,HGNC:5031,
HNRNPA2B1,NM_002137,HGNC:5033,
HNRNPDL,NM_031372,HGNC:5037,
HOXA11,NM_005523,HGNC:5101,
HPCA,NM_002143,HGNC:5144,
HPRT1,NM_000194,HGNC:5157,
HPS1,NM_000195,HGNC:5163,
HPS3,NM_032383,HGNC:15597,
HPS4,NM_022081,HGNC:15844,
HPS5,NM_181507,HGNC:17022,
HPS6,NM_024747,HGNC:18817,
HRG,NM_000412,HGNC:5181,
HSPB1,NM_001540,HGNC:5246,
HSPB8,NM_014365,HGNC:30171,
HSPD1,NM_002156,HGNC:5261,
HTRA1,NM_002775,HGNC:9476,
HTRA2,NM_013247,HGNC:14348,
HYCC1,NM_032581,HGNC:24587,
IARS2,NM_018060,HGNC:29685,
IBA57,NM_001010867,HGNC:27302,
IFIH1,NM_022168,HGNC:18873,
IGHMBP2,NM_002180,HGNC:5542,
IKZF5,NM_001271840,HGNC:14283,
INF2,NM_022489,HGNC:23791,
INPP5K,NM_016532,HGNC:33882,
ITGA2B,NM_000419,HGNC:6138,
ITGA7,NM_002206,HGNC:6143,
ITGB3,NM_000212,HGNC:6156,
ITM2B,NM_021999,HGNC:6174,
ITPR1,NM_001378452,HGNC:6180,
JAG2,NM_002226,HGNC:6189,
KBTBD13,NM_001101362,HGNC:37227,
KCNA1,NM_000217,HGNC:6218,
KCNA2,NM_004974,HGNC:6220,
KCNC3,NM_004977,HGNC:6235,
KCND3,NM_004980,HGNC:6239,
KCNK18,NM_181840,HGNC:19439,
KCNMA1,NM_001161352,HGNC:6284,
KCNQ2,NM_172107,HGNC:6296,
KCTD17,NM_001282684,HGNC:25705,
